stop_id,stop_name,code,distance,stop_points/0/code,stop_points/0/stop_id,stop_points/0/stop_lat,stop_points/0/stop_lon,stop_points/0/stop_name,stop_points/1/code,stop_points/1/stop_id,stop_points/1/stop_lat,stop_points/1/stop_lon,stop_points/1/stop_name,stop_points/2/code,stop_points/2/stop_id,stop_points/2/stop_lat,stop_points/2/stop_lon,stop_points/2/stop_name,stop_points/3/code,stop_points/3/stop_id,stop_points/3/stop_lat,stop_points/3/stop_lon,stop_points/3/stop_name,stop_points/4/code,stop_points/4/stop_id,stop_points/4/stop_lat,stop_points/4/stop_lon,stop_points/4/stop_name,stop_points/5/code,stop_points/5/stop_id,stop_points/5/stop_lat,stop_points/5/stop_lon,stop_points/5/stop_name
4THCHAL,Fourth and Chalmers,MTD4752,20951.33,MTD4752,4THCHAL:1,40.106838,-88.233322,4th & Chalmers (NE Corner),MTD4752,4THCHAL:4,40.106745,-88.23351,Fourth & Chalmers (NW Corner),,,,,,,,,,,,,,,,,,,,
4THGRG,Fourth and Gregory,MTD1411,21043.59,MTD1411,4THGRG:2,40.104095,-88.233226,Fourth & Gregory (SE Corner),MTD1411,4THGRG:7,40.103817,-88.2335,Fourth & Gregory (SW Far Side),,,,,,,,,,,,,,,,,,,,
4THKBY,Fourth and Kirby,MTD6675,21295.22,MTD6675,4THKBY:2,40.097897,-88.233248,Fourth & Kirby (SE Corner),MTD6675,4THKBY:4,40.098844,-88.233472,Fourth & Kirby (NW Corner),MTD6675,4THKBY:5,40.098817,-88.23326,Fourth & Kirby (NE Far Side),,,,,,,,,,,,,,,
4THPA,Fourth and Pennsylvania,MTD6735,21180.2,MTD6735,4THPA:2,40.100414,-88.233292,Fourth & Pennsylvania (SE Corner),MTD6735,4THPA:4,40.100552,-88.233452,Fourth & Pennsylvania (NW Corner),,,,,,,,,,,,,,,,,,,,
4THPDY,Fourth and Peabody,MTD3014,21111.98,MTD3014,4THPDY:1,40.101505,-88.233258,Fourth & Peabody (NE Corner),MTD3014,4THPDY:2,40.10133,-88.233307,Fourth & Peabody (SE Corner),MTD3014,4THPDY:3,40.101425,-88.233553,Fourth & Peabody (SW Corner),MTD3014,4THPDY:4,40.101603,-88.233468,Fourth & Peabody (NW Corner),MTD3014,4THPDY:5,40.101847,-88.233323,Fourth & Peabody (NE Far Side),,,,,
4THSMR,Fourth and St. Mary's,MTD7424,21587.64,MTD7424,4THSMR:4,40.094688,-88.233327,Fourth & St. Mary's (NW Corner),MTD7424,4THSMR:5,40.094883,-88.233193,Fourth & St. Mary's (NE Far Side),,,,,,,,,,,,,,,,,,,,
5THARY,Fifth and Armory,MTD9345,21368.35,MTD9345,5THARY:3,40.105381,-88.232076,Fifth & Armory (SW Corner),MTD9345,5THARY:8,40.105465,-88.232198,Fifth & Armory (NW Far Side),,,,,,,,,,,,,,,,,,,,
5THBRD,Fifth and Beardsley,MTD2054,22245.33,MTD2054,5THBRD:2,40.126168,-88.232085,Fifth & Beardsley (SE Corner),MTD2054,5THBRD:4,40.126377,-88.232177,Fifth & Beardsley (NW Corner),,,,,,,,,,,,,,,,,,,,
5THCHAL,Fifth and Chalmers,MTD7555,21361.25,MTD7555,5THCHAL:1,40.106857,-88.231857,5th & Chalmers (NE Corner),,,,,,,,,,,,,,,,,,,,,,,,,
5THCLMBA,Fifth and Columbia,MTD2036,21788.93,MTD2036,5THCLMBA:2,40.121088,-88.232068,Fifth & Columbia (SE Corner),MTD2036,5THCLMBA:4,40.121308,-88.232153,Fifth & Columbia (NW Corner),,,,,,,,,,,,,,,,,,,,
