route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
SILVER LIMITED EVENING,SV2 NON UI,[@15.0.67924657@][2][1363728725942]/91__SV2_NON_UI,Transit Plaza,1,SV2 NON UI,[@15.0.67924657@]7
PINK,P2 MF,[@2.0.81838518@][12][1430161313741]/33__P2_MF,Round Barn Road,1,P2 MF,[@2.0.81838518@]103
ILLINI EVENING,I8 UIF,[@7.0.41950648@][1244056065453]/240__I8_UIF,PAR,1,I8 UIF,220S ILLINI 20
ILLINI EVENING SUNDAY,I1 UISU,[@124.0.92263401@][1484328944432]/354__I1_UISU,PAR,1,I1 UISU,[@124.0.92263401@]220S ILLINI 20
RUBY SATURDAY,RUB1 SA,[@15.0.64657075@][1339528341508]/3__RUB1_SA,Lincoln Square,1,RUB1 SA,[@15.0.64657075@]2
TEAL SATURDAY,T1 UISA,[@12.0.44194660@][1250946648828]/143__T1_UISA,Orchard Downs,0,T1 UISA,12E TEAL WEEKEND 13
TEAL LATE NIGHT SUNDAY,T2 UISU,[@124.0.92276155@][1484344792164]/52__T2_UISU,Illinois Terminal,1,T2 UISU,[@124.0.92276155@]120W TEAL LATE 12
GREEN LATE NIGHT SATURDAY,GN3 UISA,[@124.0.92344750@][1484579800344]/38__GN3_UISA,Illinois Terminal,1,GN3 UISA,[@124.0.92344750@]50WLTNT->
ILLINI LIMITED SUNDAY,I1 NONUISU,[@6.0.14330187@][2][1622253008700]/31__I1_NONUISU,Transit Plaza,1,I1 NONUISU,[@124.0.92244155@]ILLINI LIMITED WEEKEND 845
ILLINI,I7 UIF,[@7.0.41200832@][1][1238430123625]/19__I7_UIF,Lincoln & Killarney,0,I7 UIF,22N ILLINI 10
GOLD,G2 MF,[@7.0.41203042@][4][1246652832718]/14__G2_MF,Mattis & Devonshire,1,G2 MF,GOLD 425
GREY SUNDAY,GN1 SU,[@2.0.85633657@][32][1463429698711]/11__GN1_SU,Round Barn Road,1,GN1 SU,70WIT->CF
GREENHOPPER EVENING SATURDAY,GR4SA,[@7.0.42019048@][1245177724421]/74__GR4SA,Sunnycrest,0,GR4SA,50E HOPPER 102
TEAL LATE NIGHT,T2-4 UI MF,[@7.0.41905826@][3][1246486974015]/2__T2-4_UI_MF,Orchard Downs,0,T2-4 UI MF,TEAL LATE 14
TEAL SATURDAY,T1 NONUISA,[@12.0.44194660@][1250946648828]/29__T1_NONUISA,Illinois Terminal,1,T1 NONUISA,TEAL WEEKEND 16
TEAL SATURDAY,T2 NONUISA,[@12.0.44194660@][1250946648828]/8__T2_NONUISA,Illinois Terminal,1,T2 NONUISA,TEAL WEEKEND 16
ILLINI EVENING,I8 UIF,[@7.0.41950648@][1244056065453]/105__I8_UIF,Lincoln & Killarney,0,I8 UIF,220N ILLINI 10
TEAL SATURDAY,T1 NONUISA,[@12.0.44194660@][1250946648828]/155__T1_NONUISA,Orchard Downs,0,T1 NONUISA,12E TEAL WEEKEND 13
BROWN,BA2 SCHMF,[@2.0.80548152@][11][1425506680849]/13__BA2_SCHMF,Parkland College,0,BA2 SCHMF,[@15.0.61662606@]364
SILVER LIMITED SATURDAY,SV1 NONUISA,[@15.0.67916770@][2][1363721639425]/16__SV1_NONUISA,Transit Plaza,1,SV1 NONUISA,[@15.0.67916770@]3
GREEN,GN1 MF,1GN500__GN1_MF,Round Barn Road - Holiday Park,1,GN1 MF,5WIUE->
SILVER EVENING,SV4 UIMTH SCH,[@12.0.42224456@][4][1246897225718]/16__SV4_UIMTH_SCH,Vet-Med,1,SV4 UIMTH SCH,130S SILVER EVENING 3
